wind,timestamp,rain_1h,humidity,datetime,local_soil_humidity,local_soil_temperature,temp,cloud,is_test
4.6,1603621953.43099,4.89,71,2020-10-25 10:32:33.431011+00:00,,12.483613967895508,11.54000000000002,50,False
4.6,1603625556.1312068,0,76,2020-10-25 11:32:36.131227+00:00,,12.770469665527344,11.960000000000036,55,False
3.1,1603629157.4289875,0,76,2020-10-25 12:32:37.429008+00:00,,12.28554630279541,11.25,1,False
3.6,1603632758.6045682,0,71,2020-10-25 13:32:38.604578+00:00,,12.46312427520752,11.510000000000048,1,False
3.6,1603636359.7370653,0,71,2020-10-25 14:32:39.737086+00:00,,12.599721908569336,11.710000000000036,22,False
4.1,1603639960.985965,0,76,2020-10-25 15:32:40.985985+00:00,,12.422143936157227,11.450000000000045,37,False
3.6,1603643562.5989943,0,76,2020-10-25 16:32:42.599012+00:00,,12.03966999053955,10.890000000000043,52,False
4.1,1603647165.502686,0.26,66,2020-10-25 17:32:45.502707+00:00,,11.616215705871582,10.270000000000039,51,False
4.1,1603650766.7215095,0,76,2020-10-25 18:32:46.721531+00:00,,11.2064208984375,9.670000000000016,92,False
3.1,1603654372.7092428,0.28,76,2020-10-25 19:32:52.709253+00:00,,10.987863540649414,9.350000000000023,92,False
4.1,1603657973.8863208,0,81,2020-10-25 20:32:53.886332+00:00,,10.714667320251465,8.950000000000045,64,False
2.6,1603661574.9342206,0,76,2020-10-25 21:32:54.934237+00:00,,10.714667320251465,8.950000000000045,60,False
3.6,1603665176.232695,0,81,2020-10-25 22:32:56.232713+00:00,,10.502941131591797,8.640000000000043,48,False
2.6,1603668777.4582553,0,81,2020-10-25 23:32:57.458277+00:00,,10.420982360839844,8.520000000000039,40,False
2.6,1603672379.0680027,0,81,2020-10-26 00:32:59.068025+00:00,,10.291213989257812,8.330000000000041,0,False
3.6,1603675980.2588196,0,81,2020-10-26 01:33:00.258834+00:00,,10.38000202178955,8.460000000000036,0,False
2.6,1603679581.3644366,0,81,2020-10-26 02:33:01.364458+00:00,,10.12729549407959,8.090000000000032,0,False
